Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011420000,0.0021460400,0.0030500801,0.0039541338,0.0048781738,0.0064582539,0.0074422939,0.0083663339,0.0094103740,4.1263433919,4.1263433919,6.1829196538,4.1263433919,2.2526405294,7.8737491169,6.0000462544,4.1263433919,2.2526405294,98.1262971375,99.4650485688,98.9990229195,99.0404384814,100.0000000000,100.0000000000,
0.0011620000,0.0020260400,0.0028700801,0.0037141338,0.0046381738,0.0057422139,0.0066062539,0.0074702939,0.0083543339,7.8737491169,4.1263433919,8.0566225163,2.2526405294,9.7474519794,9.7474519794,6.0000462544,9.7474519794,6.0000462544,100.9368514313,101.8736028625,101.7279273509,100.7045431597,100.0000000000,100.0000000000,
0.0018380347,0.0027220747,0.0036261147,0.0044901547,0.0054141948,0.0063782348,0.0072422748,0.0080863149,0.0096703686,2.2526405294,7.8737491169,4.1263433919,7.8737491169,2.2526405294,9.7474519794,4.1263433919,11.8040282413,9.7474519794,101.5000000000,100.4019000000,102.6686318852,101.0546940281,100.0000000000,100.0000000000,
0.0011820000,0.0027220762,0.0036661300,0.0046301700,0.0055142100,0.0064382501,0.0072822901,0.0084663301,0.0095103702,4.1263433919,8.0566225163,4.1263433919,2.2526405294,9.7474519794,7.8737491169,6.0000462544,7.8737491169,6.0000462544,100.9368514313,100.9367514313,100.6639899388,100.7146696543,100.0000000000,100.0000000000,
0.0019380400,0.0029220801,0.0038661201,0.0047101601,0.0055542001,0.0064382402,0.0082182802,0.0103383202,0.0111823740,6.0000462544,2.2526405294,2.2526405294,9.7474519794,9.7474519794,4.1263433919,4.1263433919,6.1829196538,9.7474519794,99.0631485687,99.4650485688,97.5951990908,102.1841847699,100.0000000000,100.0000000000,
0.0012220000,0.0027820938,0.0036461338,0.0045101738,0.0053742139,0.0062182539,0.0071222939,0.0080063339,0.0098103740,4.3092167913,7.8737491169,9.7474519794,9.7474519794,7.8737491169,4.1263433919,6.0000462544,6.0000462544,2.2526405294,100.7954147316,100.5348514312,102.1627365696,101.3231488876,100.0000000000,100.0000000000,
0.0012420000,0.0022060400,0.0031100801,0.0040341201,0.0048981601,0.0063982130,0.0073022668,0.0085063068,0.0095703468,2.2526405294,6.0000462544,2.2526405294,4.1263433919,9.7474519794,9.9303253788,2.2526405294,7.8737491169,2.2526405294,98.5000000000,100.4019000000,100.2155505061,98.6101421673,100.0000000000,100.0000000000,
0.0012220000,0.0021060400,0.0029700801,0.0038141201,0.0048181601,0.0063782364,0.0072222901,0.0084263301,0.0097503702,6.0000462544,4.1263433919,4.1263433919,7.8737491169,9.7474519794,4.3092167913,9.7474519794,9.7474519794,6.0000462544,100.7954147316,98.0725838372,100.1088009423,97.9067549904,100.0000000000,100.0000000000,
0.0011620000,0.0020260400,0.0030300938,0.0039741338,0.0048781738,0.0064182539,0.0075022939,0.0088663339,0.0100703740,7.8737491169,9.9303253788,4.1263433919,2.2526405294,2.2526405294,6.0000462544,4.1263433919,9.7474519794,6.0000462544,100.9368514313,99.0631485687,100.2540439678,99.6915292483,100.0000000000,100.0000000000,
0.0012220000,0.0020660400,0.0029500801,0.0044901700,0.0053742100,0.0062382501,0.0071222901,0.0080263301,0.0091103839,7.8737491169,4.1263433919,9.7474519794,4.1263433919,4.1263433919,9.7474519794,7.8737491169,8.0566225163,2.2526405294,100.9368514313,100.5348514312,100.6409682236,102.1135729656,100.0000000000,100.0000000000,
0.0011420000,0.0020260400,0.0029100801,0.0038341201,0.0047781601,0.0063382348,0.0072622748,0.0088663286,0.0098703686,2.2526405294,7.8737491169,4.1263433919,7.8737491169,6.0000462544,2.2526405294,4.3092167913,2.2526405294,7.8737491169,101.5000000000,99.9999000000,99.2725753686,97.8805149912,100.0000000000,100.0000000000,
0.0011420000,0.0022860400,0.0037861101,0.0046501639,0.0054942039,0.0064582439,0.0073022840,0.0084463240,0.0099103640,7.8737491169,4.1263433919,6.1829196538,7.8737491169,2.2526405294,4.1263433919,4.1263433919,2.2526405294,9.7474519794,99.0631485687,99.4650485688,98.1878307820,96.5689126793,100.0000000000,100.0000000000,
0.0011620000,0.0021260400,0.0030100801,0.0038541201,0.0047981601,0.0057022001,0.0065662539,0.0074302939,0.0082943339,6.0000462544,9.7474519794,7.8737491169,2.2526405294,7.8737491169,8.0566225163,2.2526405294,4.1263433919,2.2526405294,100.9368514313,100.0000000000,100.4160336641,98.2831641076,100.0000000000,100.0000000000,
0.0012020000,0.0020460400,0.0029300801,0.0037741201,0.0046181601,0.0061582348,0.0070022748,0.0080463149,0.0096303686,2.2526405294,4.1263433919,7.8737491169,2.2526405294,4.1263433919,9.7474519794,2.2526405294,8.0566225163,7.8737491169,99.0631485687,98.6611485688,97.7420465885,98.7554694691,100.0000000000,100.0000000000,
0.0011420000,0.0019860400,0.0029100801,0.0039141201,0.0047781601,0.0056222001,0.0065062402,0.0073902939,0.0083543339,6.0000462544,6.0000462544,7.8737491169,6.0000462544,4.1263433919,2.2526405294,6.1829196538,6.0000462544,2.2526405294,100.3737028625,99.5980000000,101.1380324566,100.6950737464,100.0000000000,100.0000000000,
0.0011820000,0.0020460400,0.0028900938,0.0037741338,0.0046181738,0.0055022139,0.0064462539,0.0072902939,0.0082743339,4.1263433919,4.3092167913,9.7474519794,9.7474519794,7.8737491169,2.2526405294,9.7474519794,2.2526405294,2.2526405294,98.9217118691,100.0000000000,97.4145434757,99.5513827280,100.0000000000,100.0000000000,
0.0011420000,0.0034181268,0.0042621668,0.0051462069,0.0062102469,0.0070942869,0.0084783270,0.0115183670,0.0132224070,6.0000462544,4.1263433919,9.7474519794,4.1263433919,2.2526405294,7.8737491169,7.8737491169,6.0000462544,9.9303253788,97.5631485687,100.5348514312,97.7085940540,100.1036322461,100.0000000000,100.0000000000,
0.0011420000,0.0020860400,0.0029500801,0.0037941201,0.0046981738,0.0056222139,0.0065062539,0.0074702939,0.0083143339,6.0000462544,6.0000462544,6.0000462544,9.9303253788,7.8737491169,6.0000462544,9.7474519794,7.8737491169,7.8737491169,101.5000000000,99.9999000000,100.9485974585,100.3462653746,100.0000000000,100.0000000000,
0.0011820000,0.0020260400,0.0029500801,0.0046301725,0.0054942125,0.0063582525,0.0072422926,0.0082663326,0.0099903726,9.7474519794,2.2526405294,6.1829196538,9.7474519794,7.8737491169,4.1263433919,9.7474519794,4.1263433919,7.8737491169,99.4848604378,101.8199895622,100.8255211809,102.3505202076,100.0000000000,100.0000000000,
0.0012020000,0.0020860400,0.0029900801,0.0044701700,0.0054142100,0.0063582638,0.0083983321,0.0097823722,0.0108664122,7.8737491169,4.1263433919,2.2526405294,7.8737491169,8.0566225163,7.8737491169,2.2526405294,6.0000462544,6.0000462544,100.5631485687,97.1894457063,99.8048344890,98.1011595949,100.0000000000,100.0000000000,
0.0025140693,0.0033781094,0.0049981880,0.0058422281,0.0074223047,0.0084863447,0.0094503847,0.0107544248,0.0118584648,2.2526405294,6.0000462544,2.2526405294,2.2526405294,7.8737491169,9.7474519794,9.7474519794,9.7474519794,6.1829196538,98.5000000000,98.1262971375,99.8695426679,96.8298039907,100.0000000000,100.0000000000,
0.0011820000,0.0020860400,0.0029300801,0.0039541338,0.0047981738,0.0063582525,0.0072022926,0.0080463326,0.0097703726,7.8737491169,6.0000462544,6.1829196538,7.8737491169,9.7474519794,7.8737491169,6.0000462544,4.1263433919,9.7474519794,100.4217118691,99.4650485688,100.8246432258,97.5784147683,100.0000000000,100.0000000000,
0.0018180347,0.0027020747,0.0036861147,0.0045901547,0.0054341948,0.0063182485,0.0072022886,0.0080463286,0.0091903686,9.7474519794,6.0000462544,4.1263433919,6.0000462544,8.0566225163,9.7474519794,7.8737491169,2.2526405294,2.2526405294,101.3105542937,101.3387514312,103.2102444943,101.5585791804,100.0000000000,100.0000000000,
0.0024740868,0.0017580369,0.0043221806,0.0052662206,0.0061902606,0.0070743006,0.0081183407,0.0091423807,0.0101264207,6.0000462544,230863.6078000359,4.1263433919,4.1263433919,7.8737491169,9.7474519794,4.1263433919,6.0000462544,4.1263433919,99.4368514313,99.9999000000,-756990799.8538384438,697161807.9286159277,100.0000000000,100.0000000000,
0.0012220000,0.0028020683,0.0042821335,0.0051261736,0.0059902136,0.0068742536,0.0079382936,0.0091823337,0.0110663737,2.2526405294,7.8737491169,9.7474519794,6.0000462544,2.2526405294,7.8737491169,2.2526405294,9.7474519794,8.0566225163,100.0000000000,99.9999000000,99.8638143916,99.2464740358,100.0000000000,100.0000000000,
0.0026540504,0.0035180904,0.0044021442,0.0053261842,0.0061902242,0.0079303043,0.0088943443,0.0103783843,0.0118024244,4.1263433919,11.8040282413,4.1263433919,7.8737491169,9.7474519794,2.2526405294,2.2526405294,7.8737491169,9.7474519794,100.9368514313,97.0000000000,99.6092592136,97.5922660349,100.0000000000,100.0000000000,
0.0011820000,0.0020260537,0.0029300938,0.0038541338,0.0048781738,0.0057822139,0.0072822886,0.0087463286,0.0099903686,9.9303253788,2.2526405294,4.1263433919,6.0000462544,2.2526405294,7.8737491169,9.7474519794,4.1263433919,4.1263433919,99.0631485687,98.6611485688,101.0349431556,99.1424841075,100.0000000000,100.0000000000,
0.0011420000,0.0020460400,0.0028900801,0.0037341201,0.0045981601,0.0055222001,0.0063862402,0.0074302802,0.0082943339,9.7474519794,9.7474519794,9.7474519794,9.7474519794,4.1263433919,2.2526405294,7.8737491169,11.8040282413,4.1263433919,100.9368514313,100.9367514313,98.8882815728,102.5457245871,100.0000000000,100.0000000000,
0.0011420000,0.0020260400,0.0030100801,0.0038541201,0.0055141988,0.0069942920,0.0081583321,0.0090423721,0.0118264121,6.0000462544,9.7474519794,9.7474519794,2.2526405294,2.2526405294,4.1263433919,7.8737491169,9.7474519794,11.8040282413,99.6262971375,98.6611485688,96.6766203603,100.5283693044,100.0000000000,100.0000000000,
0.0011420000,0.0020460400,0.0030100801,0.0045101401,0.0053941801,0.0063182339,0.0072022739,0.0081063139,0.0094303540,4.1263433919,9.7474519794,4.1263433919,9.7474519794,9.9303253788,4.1263433919,4.1263433919,4.1263433919,2.2526405294,100.9368514313,100.0000000000,101.3221607508,100.8403426302,100.0000000000,100.0000000000,
